"state","year","barrels","percentage_total_barrels","state_name","id"
"NC",2018,1414762.67,0.85,"North Carolina","37"
"ND",2018,7265.21,0.0,"North Dakota","38"
"NE",2018,48316.06,0.03,"Nebraska","31"
"NH",2018,2912641.8,1.75,"New Hampshire","33"
"NJ",2018,3201610.89,1.92,"New Jersey","34"
"NM",2018,107181.42,0.06,"New Mexico","35"
"NV",2018,41588.78,0.02,"Nevada","32"
"NY",2018,8007847.28,4.8,"New York","36"
"OH",2018,17660570.39,10.58,"Ohio","39"
"OK",2018,18057.84,0.01,"Oklahoma","40"
"OR",2018,1516574.99,0.91,"Oregon","41"
"PA",2018,5110453.77,3.06,"Pennsylvania","42"
"RI",2018,63573.0,0.04,"Rhode Island","44"
"SC",2018,72273.22,0.04,"South Carolina","45"
"SD",2018,12104.58,0.01,"South Dakota","46"
"TN",2018,1862145.43,1.12,"Tennessee","47"
"TX",2018,18219321.08,10.92,"Texas","48"
"UT",2018,172205.88,0.1,"Utah","49"
"VA",2018,13724485.65,8.22,"Virginia","51"
"VT",2018,273772.92,0.16,"Vermont","50"
"WA",2018,518586.7,0.31,"Washington","53"
"WI",2018,10344731.23,6.2,"Wisconsin","55"
"WV",2018,10551.91,0.01,"West Virginia","54"
"WY",2018,43158.69,0.03,"Wyoming","56"
"AK",2019,180538.6,0.11,"Alaska","2"
"AL",2019,71512.81,0.04,"Alabama","1"
"AR",2019,30561.7,0.02,"Arkansas","5"
"AZ",2019,352096.64,0.21,"Arizona","4"
"CA",2019,17872597.37,10.7,"California","6"
"CO",2019,19097585.18,11.43,"Colorado","8"
"CT",2019,194298.43,0.12,"Connecticut","9"
"DC",2019,29897.03,0.02,"District of Columbia","11"
"DE",2019,299007.1,0.18,"Delaware","10"
"FL",2019,10373197.65,6.21,"Florida","12"
"GA",2019,13411106.81,8.03,"Georgia","13"
"HI",2019,82098.42,0.05,"Hawaii","15"
"IA",2019,109674.71,0.07,"Iowa","19"
"ID",2019,43884.89,0.03,"Idaho","16"
"IL",2019,1544499.45,0.92,"Illinois","17"
"IN",2019,166496.71,0.1,"Indiana","18"
"KS",2019,28877.72,0.02,"Kansas","20"
"KY",2019,194102.7,0.12,"Kentucky","21"
"LA",2019,172243.39,0.1,"Louisiana","22"
"MA",2019,453648.13,0.27,"Massachusetts","25"
"MD",2019,407984.5,0.24,"Maryland","24"
"ME",2019,221094.21,0.13,"Maine","23"
"MI",2019,1428445.33,0.85,"Michigan","26"
"MN",2019,1637378.68,0.98,"Minnesota","27"
"MO",2019,12169102.06,7.28,"Missouri","29"
"MS",2019,21448.74,0.01,"Mississippi","28"
"MT",2019,149062.5,0.09,"Montana","30"
"NC",2019,1505300.12,0.9,"North Carolina","37"
"ND",2019,10401.34,0.01,"North Dakota","38"
"NE",2019,48426.08,0.03,"Nebraska","31"
"NH",2019,2596471.07,1.55,"New Hampshire","33"
"NJ",2019,2914036.6,1.74,"New Jersey","34"
"NM",2019,119299.93,0.07,"New Mexico","35"
"NV",2019,53512.12,0.03,"Nevada","32"
"NY",2019,8321345.32,4.98,"New York","36"
"OH",2019,17676963.51,10.58,"Ohio","39"
"OK",2019,22839.86,0.01,"Oklahoma","40"
"OR",2019,1441887.18,0.86,"Oregon","41"
"PA",2019,6087834.4,3.64,"Pennsylvania","42"
"RI",2019,86323.54,0.05,"Rhode Island","44"
"SC",2019,85051.02,0.05,"South Carolina","45"
"SD",2019,12997.48,0.01,"South Dakota","46"
"TN",2019,2736039.25,1.64,"Tennessee","47"
"TX",2019,18187258.36,10.89,"Texas","48"
"UT",2019,151207.03,0.09,"Utah","49"
"VA",2019,14179375.65,8.49,"Virginia","51"
"VT",2019,271189.7,0.16,"Vermont","50"
"WA",2019,541354.18,0.32,"Washington","53"
"WI",2019,9227544.68,5.52,"Wisconsin","55"
"WV",2019,12333.28,0.01,"West Virginia","54"
"WY",2019,45799.84,0.03,"Wyoming","56"
