year,brewer_size,n_of_brewers,total_barrels,taxable_removals,total_shipped
2016,"1,000,000 to 6,000,000 Barrels",4,4999263.95,4994536.9,47250.0
2016,"500,001 to 1,000,000 Barrels",6,4293996.9,4014943.39,4748.0
2016,"100,001 to 500,000 Barrels",45,10469048.22,8618323.450000003,276289.0
2016,"60,001 to 100,000 Barrels",38,3052311.4800000004,2395062.26,48970.0
2016,"30,001 to 60,000 Barrels",53,2329947.35,2069205.9399999997,85136.0
2016,"15,001 to 30,000 Barrels",75,1577515.3899999997,1341223.91,37302.0
2016,"7,501 to 15,000 Barrels",148,1550640.4199999997,1351541.9599999995,11813.0
2016,"1,001 to 7,500 Barrels",935,2461722.990000003,2282897.140000001,13608.0
2016,"1 to 1,000 Barrels",3283,993337.9200000032,864097.2000000007,889.0
2016,Under 1 Barrel,488,4.43,102983.4,601.0
2017,"6,000,001 Barrels and Over",15,135615117.47,124049346.77,5331930.0
2017,"1,000,000 to 6,000,000 Barrels",5,17288133.2,16092810.95,1015504.0
2017,"1,000,000 to 6,000,000 Barrels",4,4868564.08,4897090.56,4110.0
2017,"500,001 to 1,000,000 Barrels",10,6253029.02,5720117.89,94410.0
2017,"100,001 to 500,000 Barrels",40,8792844.25,6811548.01,235283.0
2017,"60,001 to 100,000 Barrels",41,3175932.85,2714928.75,47505.0
2017,"30,001 to 60,000 Barrels",53,2230144.53,1940812.97,27479.0
2017,"15,001 to 30,000 Barrels",99,2062332.14,2239986.46,38491.0
2017,"7,501 to 15,000 Barrels",152,1565335.71,1556842.26,6874.0
2017,"1,001 to 7,500 Barrels",1030,2656419.36,3626288.32,11294.0
2017,"1 to 1,000 Barrels",3646,1073977.86,1003361.14,790.0
2017,Under 1 Barrel,553,6.73,107494.1,503.0
2018,"6,000,001 Barrels and Over",15,131336734.02,124471154.46999995,5749122.0
2018,"1,000,000 to 6,000,000 Barrels",5,17410932.97,17957039.46,734605.0
2018,"1,000,000 to 6,000,000 Barrels",5,6076447.34,6110085.42,3062.0
2018,"500,001 to 1,000,000 Barrels",10,5859956.25,4794122.05,111188.0
2018,"100,001 to 500,000 Barrels",42,8777286.219999999,7630983.189999999,170814.0
2018,"60,001 to 100,000 Barrels",40,3120044.87,4465192.179999999,72115.0
2018,"30,001 to 60,000 Barrels",53,2170405.47,2381170.5400000005,43487.0
2018,"15,001 to 30,000 Barrels",102,2124238.48,1871360.04,15417.0
2018,"7,501 to 15,000 Barrels",155,1618340.3800000008,1406728.1200000003,3983.0
2018,"1,001 to 7,500 Barrels",1132,3058297.9499999965,2641714.4900000007,2588.0
2018,"1 to 1,000 Barrels",4241,1238268.8999999994,1169873.6800000034,2299.0
2018,Under 1 Barrel,164,7.4700000000000015,142501.38999999993,274.0
2019,"6,000,001 Barrels and Over",15,125788474.04,116321254.52,4208092.0
2019,"1,000,000 to 6,000,000 Barrels",6,18344022.83,18575155.74,495136.0
2019,"1,000,000 to 6,000,000 Barrels",5,6058176.3,6223929.3,2059.0
2019,"500,001 to 1,000,000 Barrels",12,7585071.9,5979731.09,137599.0
2019,"100,001 to 500,000 Barrels",42,8373874.82,7139034.688,80432.0
2019,"60,001 to 100,000 Barrels",33,2575065.63,2225453.43,67048.0
2019,"30,001 to 60,000 Barrels",64,2675606.37,2906735.837,39494.0
2019,"15,001 to 30,000 Barrels",102,2166277.84,1891960.763,23889.0
2019,"7,501 to 15,000 Barrels",159,1680544.748,1484609.204,3115.0
2019,"1,001 to 7,500 Barrels",1183,3151130.255,2901015.17,7509.0
2019,"1 to 1,000 Barrels",4577,1321901.272,1293960.317,2296.0
2019,Under 1 Barrel,28,18.3,19432.26,0.0
2019,Under 1 Barrel,174,115145.27,114960.27,185.0
