tax_status,year,month,type,month_current,tax_rate
Tax Free,2013,9,Consumed on brewery premises,14257,$7/$18 per barrel
Taxable,2013,10,In bottles and cans,12802115,$7/$18 per barrel
Taxable,2013,10,In kegs,1447175,$7/$18 per barrel
Taxable,2013,10,"Tax Determined, Premises Use",8338,$7/$18 per barrel
Tax Free,2013,10,For export,554584,$7/$18 per barrel
Tax Free,2013,10,For vessels and aircraft,0,$7/$18 per barrel
Tax Free,2013,10,Consumed on brewery premises,1539,$7/$18 per barrel
Taxable,2013,11,In bottles and cans,12031360,$7/$18 per barrel
Taxable,2013,11,In kegs,1251431,$7/$18 per barrel
Taxable,2013,11,"Tax Determined, Premises Use",7002,$7/$18 per barrel
Tax Free,2013,11,For export,452863,$7/$18 per barrel
Tax Free,2013,11,For vessels and aircraft,0,$7/$18 per barrel
Tax Free,2013,11,Consumed on brewery premises,1226,$7/$18 per barrel
Taxable,2013,12,In bottles and cans,11478530,$7/$18 per barrel
Taxable,2013,12,In kegs,1480185,$7/$18 per barrel
Taxable,2013,12,"Tax Determined, Premises Use",115855,$7/$18 per barrel
Tax Free,2013,12,For export,395989,$7/$18 per barrel
Tax Free,2013,12,For vessels and aircraft,2,$7/$18 per barrel
Tax Free,2013,12,Consumed on brewery premises,15507,$7/$18 per barrel
Taxable,2014,1,In bottles and cans,12390892,$7/$18 per barrel
Taxable,2014,1,In kegs,1338104,$7/$18 per barrel
Taxable,2014,1,"Tax Determined, Premises Use",7502,$7/$18 per barrel
Tax Free,2014,1,For export,351441,$7/$18 per barrel
Tax Free,2014,1,For vessels and aircraft,0,$7/$18 per barrel
Tax Free,2014,1,Consumed on brewery premises,1251,$7/$18 per barrel
Taxable,2014,2,In bottles and cans,12132162,$7/$18 per barrel
Taxable,2014,2,In kegs,1240984,$7/$18 per barrel
Taxable,2014,2,"Tax Determined, Premises Use",7496,$7/$18 per barrel
Tax Free,2014,2,For export,402904,$7/$18 per barrel
Tax Free,2014,2,For vessels and aircraft,0,$7/$18 per barrel
Tax Free,2014,2,Consumed on brewery premises,1099,$7/$18 per barrel
Taxable,2014,3,In bottles and cans,12938927,$7/$18 per barrel
Taxable,2014,3,In kegs,1627799,$7/$18 per barrel
Taxable,2014,3,"Tax Determined, Premises Use",110218,$7/$18 per barrel
Tax Free,2014,3,For export,490133,$7/$18 per barrel
Tax Free,2014,3,For vessels and aircraft,0,$7/$18 per barrel
Tax Free,2014,3,Consumed on brewery premises,15134,$7/$18 per barrel
Taxable,2014,4,In bottles and cans,13384105,$7/$18 per barrel
Taxable,2014,4,In kegs,1518768,$7/$18 per barrel
Taxable,2014,4,"Tax Determined, Premises Use",6742,$7/$18 per barrel
Tax Free,2014,4,For export,518471,$7/$18 per barrel
Tax Free,2014,4,For vessels and aircraft,0,$7/$18 per barrel
Tax Free,2014,4,Consumed on brewery premises,1716,$7/$18 per barrel
Taxable,2014,5,In bottles and cans,14520258,$7/$18 per barrel
Taxable,2014,5,In kegs,1475909,$7/$18 per barrel
Taxable,2014,5,"Tax Determined, Premises Use",7679,$7/$18 per barrel
Tax Free,2014,5,For export,534184,$7/$18 per barrel
Tax Free,2014,5,For vessels and aircraft,29,$7/$18 per barrel
Tax Free,2014,5,Consumed on brewery premises,1751,$7/$18 per barrel
Taxable,2014,6,In bottles and cans,14631411,$7/$18 per barrel
Taxable,2014,6,In kegs,1713913,$7/$18 per barrel
Taxable,2014,6,"Tax Determined, Premises Use",125880,$7/$18 per barrel
Tax Free,2014,6,For export,534398,$7/$18 per barrel
Tax Free,2014,6,For vessels and aircraft,0,$7/$18 per barrel
Tax Free,2014,6,Consumed on brewery premises,17640,$7/$18 per barrel
Taxable,2014,7,In bottles and cans,14793439,$7/$18 per barrel
Taxable,2014,7,In kegs,1533395,$7/$18 per barrel
Taxable,2014,7,"Tax Determined, Premises Use",8028,$7/$18 per barrel
Tax Free,2014,7,For export,502064,$7/$18 per barrel
Tax Free,2014,7,For vessels and aircraft,0,$7/$18 per barrel
Tax Free,2014,7,Consumed on brewery premises,1810,$7/$18 per barrel
Taxable,2014,8,In bottles and cans,13887322,$7/$18 per barrel
Taxable,2014,8,In kegs,1420427,$7/$18 per barrel
Taxable,2014,8,"Tax Determined, Premises Use",8409,$7/$18 per barrel
Tax Free,2014,8,For export,392942,$7/$18 per barrel
Tax Free,2014,8,For vessels and aircraft,0,$7/$18 per barrel
Tax Free,2014,8,Consumed on brewery premises,1747,$7/$18 per barrel
Taxable,2014,9,In bottles and cans,13230362,$7/$18 per barrel
Taxable,2014,9,In kegs,1708867,$7/$18 per barrel
Taxable,2014,9,"Tax Determined, Premises Use",134312,$7/$18 per barrel
Tax Free,2014,9,For export,412707,$7/$18 per barrel
Tax Free,2014,9,For vessels and aircraft,21,$7/$18 per barrel
Tax Free,2014,9,Consumed on brewery premises,20038,$7/$18 per barrel
Taxable,2014,10,In bottles and cans,12794401,$7/$18 per barrel
Taxable,2014,10,In kegs,1423017,$7/$18 per barrel
Taxable,2014,10,"Tax Determined, Premises Use",7981,$7/$18 per barrel
Tax Free,2014,10,For export,472508,$7/$18 per barrel
Tax Free,2014,10,For vessels and aircraft,0,$7/$18 per barrel
Tax Free,2014,10,Consumed on brewery premises,1461,$7/$18 per barrel
Taxable,2014,11,In bottles and cans,11344554,$7/$18 per barrel
Taxable,2014,11,In kegs,1177676,$7/$18 per barrel
Taxable,2014,11,"Tax Determined, Premises Use",6182,$7/$18 per barrel
Tax Free,2014,11,For export,434104,$7/$18 per barrel
Tax Free,2014,11,For vessels and aircraft,0,$7/$18 per barrel
Tax Free,2014,11,Consumed on brewery premises,1223,$7/$18 per barrel
Taxable,2014,12,In bottles and cans,11995291,$7/$18 per barrel
Taxable,2014,12,In kegs,1595319,$7/$18 per barrel
Taxable,2014,12,"Tax Determined, Premises Use",192217,$7/$18 per barrel
Tax Free,2014,12,For export,454735,$7/$18 per barrel
Tax Free,2014,12,For vessels and aircraft,1130,$7/$18 per barrel
Tax Free,2014,12,Consumed on brewery premises,20420,$7/$18 per barrel
Taxable,2015,1,In bottles and cans,11656212,$7/$18 per barrel
Taxable,2015,1,In kegs,1276226,$7/$18 per barrel
Taxable,2015,1,"Tax Determined, Premises Use",6806,$7/$18 per barrel
Tax Free,2015,1,For export,354749,$7/$18 per barrel
Tax Free,2015,1,For vessels and aircraft,117,$7/$18 per barrel
Tax Free,2015,1,Consumed on brewery premises,1628,$7/$18 per barrel
Taxable,2015,2,In bottles and cans,11179924,$7/$18 per barrel
Taxable,2015,2,In kegs,1262808,$7/$18 per barrel
Taxable,2015,2,"Tax Determined, Premises Use",6106,$7/$18 per barrel
Tax Free,2015,2,For export,357498,$7/$18 per barrel
Tax Free,2015,2,For vessels and aircraft,1,$7/$18 per barrel
Tax Free,2015,2,Consumed on brewery premises,1523,$7/$18 per barrel
Taxable,2015,3,In bottles and cans,13321164,$7/$18 per barrel
Taxable,2015,3,In kegs,1786611,$7/$18 per barrel
Taxable,2015,3,"Tax Determined, Premises Use",221770,$7/$18 per barrel
Tax Free,2015,3,For export,559330,$7/$18 per barrel
Tax Free,2015,3,For vessels and aircraft,30,$7/$18 per barrel
Tax Free,2015,3,Consumed on brewery premises,23391,$7/$18 per barrel
Taxable,2015,4,In bottles and cans,13539869,$7/$18 per barrel
Taxable,2015,4,In kegs,1474192,$7/$18 per barrel
Taxable,2015,4,"Tax Determined, Premises Use",7170,$7/$18 per barrel
Tax Free,2015,4,For export,492268,$7/$18 per barrel
Tax Free,2015,4,For vessels and aircraft,6,$7/$18 per barrel
Tax Free,2015,4,Consumed on brewery premises,2357,$7/$18 per barrel
Taxable,2015,5,In bottles and cans,14204583,$7/$18 per barrel
Taxable,2015,5,In kegs,1410085,$7/$18 per barrel
Taxable,2015,5,"Tax Determined, Premises Use",6622,$7/$18 per barrel
Tax Free,2015,5,For export,553068,$7/$18 per barrel
Tax Free,2015,5,For vessels and aircraft,0,$7/$18 per barrel
Tax Free,2015,5,Consumed on brewery premises,2282,$7/$18 per barrel
Taxable,2015,6,In bottles and cans,14830747,$7/$18 per barrel
Taxable,2015,6,In kegs,1771569,$7/$18 per barrel
Taxable,2015,6,"Tax Determined, Premises Use",292373,$7/$18 per barrel
Tax Free,2015,6,For export,558280,$7/$18 per barrel
Tax Free,2015,6,For vessels and aircraft,38,$7/$18 per barrel
Tax Free,2015,6,Consumed on brewery premises,27188,$7/$18 per barrel
Taxable,2015,7,In bottles and cans,14452093,$7/$18 per barrel
Taxable,2015,7,In kegs,1452705,$7/$18 per barrel
Taxable,2015,7,"Tax Determined, Premises Use",6090,$7/$18 per barrel
Tax Free,2015,7,For export,567138,$7/$18 per barrel
Tax Free,2015,7,For vessels and aircraft,0,$7/$18 per barrel
Tax Free,2015,7,Consumed on brewery premises,2605,$7/$18 per barrel
Taxable,2015,8,In bottles and cans,14240391,$7/$18 per barrel
Taxable,2015,8,In kegs,1413207,$7/$18 per barrel
Taxable,2015,8,"Tax Determined, Premises Use",7317,$7/$18 per barrel
Tax Free,2015,8,For export,603719,$7/$18 per barrel
Tax Free,2015,8,For vessels and aircraft,0,$7/$18 per barrel
Tax Free,2015,8,Consumed on brewery premises,2224,$7/$18 per barrel
Taxable,2015,9,In bottles and cans,13623068,$7/$18 per barrel
Taxable,2015,9,In kegs,1719450,$7/$18 per barrel
Taxable,2015,9,"Tax Determined, Premises Use",349239,$7/$18 per barrel
Tax Free,2015,9,For export,589239,$7/$18 per barrel
Tax Free,2015,9,For vessels and aircraft,44,$7/$18 per barrel
Tax Free,2015,9,Consumed on brewery premises,28853,$7/$18 per barrel
Taxable,2015,10,In bottles and cans,12739353,$7/$18 per barrel
Taxable,2015,10,In kegs,1358555,$7/$18 per barrel
Taxable,2015,10,"Tax Determined, Premises Use",6290,$7/$18 per barrel
Tax Free,2015,10,For export,585491,$7/$18 per barrel
Tax Free,2015,10,For vessels and aircraft,0,$7/$18 per barrel
Tax Free,2015,10,Consumed on brewery premises,2174,$7/$18 per barrel
Taxable,2015,11,In bottles and cans,11188380,$7/$18 per barrel
Taxable,2015,11,In kegs,1201936,$7/$18 per barrel
Taxable,2015,11,"Tax Determined, Premises Use",4894,$7/$18 per barrel
Tax Free,2015,11,For export,553502,$7/$18 per barrel
Tax Free,2015,11,For vessels and aircraft,0,$7/$18 per barrel
Tax Free,2015,11,Consumed on brewery premises,1612,$7/$18 per barrel
Taxable,2015,12,In bottles and cans,11719362,$7/$18 per barrel
Taxable,2015,12,In kegs,1573208,$7/$18 per barrel
Taxable,2015,12,"Tax Determined, Premises Use",351899,$7/$18 per barrel
Tax Free,2015,12,For export,439989,$7/$18 per barrel
Tax Free,2015,12,For vessels and aircraft,28,$7/$18 per barrel
Tax Free,2015,12,Consumed on brewery premises,23857,$7/$18 per barrel
Taxable,2016,1,In bottles and cans,11489725,$7/$18 per barrel
Taxable,2016,1,In kegs,1204228,$7/$18 per barrel
Taxable,2016,1,"Tax Determined, Premises Use",4803,$7/$18 per barrel
Tax Free,2016,1,For export,361217,$7/$18 per barrel
Tax Free,2016,1,For vessels and aircraft,0,$7/$18 per barrel
Tax Free,2016,1,Consumed on brewery premises,1669,$7/$18 per barrel
Taxable,2016,2,In bottles and cans,11706959,$7/$18 per barrel
Taxable,2016,2,In kegs,1238908,$7/$18 per barrel
Taxable,2016,2,"Tax Determined, Premises Use",5686,$7/$18 per barrel
Tax Free,2016,2,For export,448309,$7/$18 per barrel
Tax Free,2016,2,For vessels and aircraft,0,$7/$18 per barrel
Tax Free,2016,2,Consumed on brewery premises,1873,$7/$18 per barrel
Taxable,2016,3,In bottles and cans,13284374,$7/$18 per barrel
Taxable,2016,3,In kegs,1725472,$7/$18 per barrel
Taxable,2016,3,"Tax Determined, Premises Use",401274,$7/$18 per barrel
Tax Free,2016,3,For export,512911,$7/$18 per barrel
Tax Free,2016,3,For vessels and aircraft,0,$7/$18 per barrel
Tax Free,2016,3,Consumed on brewery premises,33134,$7/$18 per barrel
Taxable,2016,4,In bottles and cans,13330387,$7/$18 per barrel
Taxable,2016,4,In kegs,1413272,$7/$18 per barrel
Taxable,2016,4,"Tax Determined, Premises Use",5997,$7/$18 per barrel
Tax Free,2016,4,For export,652116,$7/$18 per barrel
Tax Free,2016,4,For vessels and aircraft,0,$7/$18 per barrel
Tax Free,2016,4,Consumed on brewery premises,1974,$7/$18 per barrel
Taxable,2016,5,In bottles and cans,14264958,$7/$18 per barrel
Taxable,2016,5,In kegs,1413739,$7/$18 per barrel
Taxable,2016,5,"Tax Determined, Premises Use",5420,$7/$18 per barrel
Tax Free,2016,5,For export,546287,$7/$18 per barrel
Tax Free,2016,5,For vessels and aircraft,3,$7/$18 per barrel
Tax Free,2016,5,Consumed on brewery premises,2893,$7/$18 per barrel
Taxable,2016,6,In bottles and cans,14620647,$7/$18 per barrel
Taxable,2016,6,In kegs,1688378,$7/$18 per barrel
Taxable,2016,6,"Tax Determined, Premises Use",492387,$7/$18 per barrel
Tax Free,2016,6,For export,543366,$7/$18 per barrel
Tax Free,2016,6,For vessels and aircraft,703,$7/$18 per barrel
Tax Free,2016,6,Consumed on brewery premises,32892,$7/$18 per barrel
Taxable,2016,7,In bottles and cans,13794217,$7/$18 per barrel
Taxable,2016,7,In kegs,1309265,$7/$18 per barrel
Taxable,2016,7,"Tax Determined, Premises Use",5351,$7/$18 per barrel
Tax Free,2016,7,For export,529554,$7/$18 per barrel
Tax Free,2016,7,For vessels and aircraft,250,$7/$18 per barrel
Tax Free,2016,7,Consumed on brewery premises,1950,$7/$18 per barrel
Taxable,2016,8,In bottles and cans,14810650,$7/$18 per barrel
Taxable,2016,8,In kegs,1423634,$7/$18 per barrel
Taxable,2016,8,"Tax Determined, Premises Use",5353,$7/$18 per barrel
Tax Free,2016,8,For export,550547,$7/$18 per barrel
Tax Free,2016,8,For vessels and aircraft,0,$7/$18 per barrel
Tax Free,2016,8,Consumed on brewery premises,2227,$7/$18 per barrel
Taxable,2016,9,In bottles and cans,13080031,$7/$18 per barrel
Taxable,2016,9,In kegs,1566415,$7/$18 per barrel
Taxable,2016,9,"Tax Determined, Premises Use",528974,$7/$18 per barrel
Tax Free,2016,9,For export,564274,$7/$18 per barrel
Tax Free,2016,9,For vessels and aircraft,147,$7/$18 per barrel
Tax Free,2016,9,Consumed on brewery premises,30152,$7/$18 per barrel
Taxable,2016,10,In bottles and cans,11699120,$7/$18 per barrel
Taxable,2016,10,In kegs,1294598,$7/$18 per barrel
Taxable,2016,10,"Tax Determined, Premises Use",4528,$7/$18 per barrel
Tax Free,2016,10,For export,680517,$7/$18 per barrel
Tax Free,2016,10,For vessels and aircraft,0,$7/$18 per barrel
Tax Free,2016,10,Consumed on brewery premises,2364,$7/$18 per barrel
Taxable,2016,11,In bottles and cans,11189919,$7/$18 per barrel
Taxable,2016,11,In kegs,1229111,$7/$18 per barrel
Taxable,2016,11,"Tax Determined, Premises Use",4315,$7/$18 per barrel
Tax Free,2016,11,For export,672442,$7/$18 per barrel
Tax Free,2016,11,For vessels and aircraft,0,$7/$18 per barrel
Tax Free,2016,11,Consumed on brewery premises,2148,$7/$18 per barrel
Taxable,2016,12,In bottles and cans,11697755,$7/$18 per barrel
Taxable,2016,12,In kegs,1419764,$7/$18 per barrel
Taxable,2016,12,"Tax Determined, Premises Use",497625,$7/$18 per barrel
Tax Free,2016,12,For export,429443,$7/$18 per barrel
Tax Free,2016,12,For vessels and aircraft,6,$7/$18 per barrel
Tax Free,2016,12,Consumed on brewery premises,33571,$7/$18 per barrel
Taxable,2017,1,In bottles and cans,11679815,$7/$18 per barrel
Taxable,2017,1,In kegs,1205102,$7/$18 per barrel
Taxable,2017,1,"Tax Determined, Premises Use",3999,$7/$18 per barrel
Tax Free,2017,1,For export,539319,$7/$18 per barrel
Tax Free,2017,1,For vessels and aircraft,0,$7/$18 per barrel
Tax Free,2017,1,Consumed on brewery premises,1664,$7/$18 per barrel
Taxable,2017,2,In bottles and cans,10449800,$7/$18 per barrel
Taxable,2017,2,In kegs,1148724,$7/$18 per barrel
Taxable,2017,2,"Tax Determined, Premises Use",3937,$7/$18 per barrel
Tax Free,2017,2,For export,590662,$7/$18 per barrel
Tax Free,2017,2,For vessels and aircraft,2,$7/$18 per barrel
Tax Free,2017,2,Consumed on brewery premises,1459,$7/$18 per barrel
Taxable,2017,3,In bottles and cans,12811841,$7/$18 per barrel
Taxable,2017,3,In kegs,1710226,$7/$18 per barrel
Taxable,2017,3,"Tax Determined, Premises Use",517435,$7/$18 per barrel
Tax Free,2017,3,For export,593513,$7/$18 per barrel
Tax Free,2017,3,For vessels and aircraft,38,$7/$18 per barrel
Tax Free,2017,3,Consumed on brewery premises,27332,$7/$18 per barrel
Taxable,2017,4,In bottles and cans,12720695,$7/$18 per barrel
Taxable,2017,4,In kegs,1327194,$7/$18 per barrel
Taxable,2017,4,"Tax Determined, Premises Use",4437,$7/$18 per barrel
Tax Free,2017,4,For export,577780,$7/$18 per barrel
Tax Free,2017,4,For vessels and aircraft,0,$7/$18 per barrel
Tax Free,2017,4,Consumed on brewery premises,1890,$7/$18 per barrel
Taxable,2017,5,In bottles and cans,14900329,$7/$18 per barrel
Taxable,2017,5,In kegs,1403751,$7/$18 per barrel
Taxable,2017,5,"Tax Determined, Premises Use",4789,$7/$18 per barrel
Tax Free,2017,5,For export,540643,$7/$18 per barrel
Tax Free,2017,5,For vessels and aircraft,8,$7/$18 per barrel
Tax Free,2017,5,Consumed on brewery premises,1967,$7/$18 per barrel
Taxable,2017,6,In bottles and cans,14731827,$7/$18 per barrel
Taxable,2017,6,In kegs,1608382,$7/$18 per barrel
Taxable,2017,6,"Tax Determined, Premises Use",630023,$7/$18 per barrel
Tax Free,2017,6,For export,539885,$7/$18 per barrel
Tax Free,2017,6,For vessels and aircraft,1,$7/$18 per barrel
Tax Free,2017,6,Consumed on brewery premises,26649,$7/$18 per barrel
Taxable,2017,7,In bottles and cans,13170721,$7/$18 per barrel
Taxable,2017,7,In kegs,1263379,$7/$18 per barrel
Taxable,2017,7,"Tax Determined, Premises Use",5114,$7/$18 per barrel
Tax Free,2017,7,For export,720037,$7/$18 per barrel
Tax Free,2017,7,For vessels and aircraft,0,$7/$18 per barrel
Tax Free,2017,7,Consumed on brewery premises,1866,$7/$18 per barrel
Taxable,2017,8,In bottles and cans,13969075,$7/$18 per barrel
Taxable,2017,8,In kegs,1372531,$7/$18 per barrel
Taxable,2017,8,"Tax Determined, Premises Use",5467,$7/$18 per barrel
Tax Free,2017,8,For export,670838,$7/$18 per barrel
Tax Free,2017,8,For vessels and aircraft,0,$7/$18 per barrel
Tax Free,2017,8,Consumed on brewery premises,1784,$7/$18 per barrel
Taxable,2017,9,In bottles and cans,12357694,$7/$18 per barrel
Taxable,2017,9,In kegs,1421452,$7/$18 per barrel
Taxable,2017,9,"Tax Determined, Premises Use",645667,$7/$18 per barrel
Tax Free,2017,9,For export,561602,$7/$18 per barrel
Tax Free,2017,9,For vessels and aircraft,52,$7/$18 per barrel
Tax Free,2017,9,Consumed on brewery premises,28171,$7/$18 per barrel
Taxable,2017,10,In bottles and cans,12491312,$7/$18 per barrel
Taxable,2017,10,In kegs,1472610,$7/$18 per barrel
Taxable,2017,10,"Tax Determined, Premises Use",4696,$7/$18 per barrel
Tax Free,2017,10,For export,647306,$7/$18 per barrel
Tax Free,2017,10,For vessels and aircraft,0,$7/$18 per barrel
Tax Free,2017,10,Consumed on brewery premises,1276,$7/$18 per barrel
Taxable,2017,11,In bottles and cans,11341763,$7/$18 per barrel
Taxable,2017,11,In kegs,1206790,$7/$18 per barrel
Taxable,2017,11,"Tax Determined, Premises Use",3714,$7/$18 per barrel
Tax Free,2017,11,For export,452865,$7/$18 per barrel
Tax Free,2017,11,For vessels and aircraft,3484,$7/$18 per barrel
Tax Free,2017,11,Consumed on brewery premises,1348,$7/$18 per barrel
Taxable,2017,12,In bottles and cans,10719932,$7/$18 per barrel
Taxable,2017,12,In kegs,1236385,$7/$18 per barrel
Taxable,2017,12,"Tax Determined, Premises Use",503106,$7/$18 per barrel
Tax Free,2017,12,For export,377224,$7/$18 per barrel
Tax Free,2017,12,For vessels and aircraft,55,$7/$18 per barrel
Tax Free,2017,12,Consumed on brewery premises,21325,$7/$18 per barrel
Taxable,2018,1,In bottles and cans,10884988,$3.50/$16 per barrel
Taxable,2018,1,In barrels and kegs,1241826,$3.50/$16 per barrel
Taxable,2018,1,"Tax Determined, Premises Use",5366,$3.50/$16 per barrel
Tax Free,2018,1,For export,573974,$3.50/$16 per barrel
Tax Free,2018,1,Consumed on brewery premises,1112,$3.50/$16 per barrel
Taxable,2018,2,In bottles and cans,10148564,$3.50/$16 per barrel
Taxable,2018,2,In barrels and kegs,1118430,$3.50/$16 per barrel
Taxable,2018,2,"Tax Determined, Premises Use",4582,$3.50/$16 per barrel
Tax Free,2018,2,For export,571341,$3.50/$16 per barrel
Tax Free,2018,2,For vessels and aircraft,0,$3.50/$16 per barrel
Tax Free,2018,2,Consumed on brewery premises,1002,$3.50/$16 per barrel
Taxable,2018,3,In bottles and cans,12410627,$3.50/$16 per barrel
Taxable,2018,3,In barrels and kegs,1550281,$3.50/$16 per barrel
Taxable,2018,3,"Tax Determined, Premises Use",685517,$3.50/$16 per barrel
Tax Free,2018,3,For export,605640,$3.50/$16 per barrel
Tax Free,2018,3,For vessels and aircraft,10,$3.50/$16 per barrel
Tax Free,2018,3,Consumed on brewery premises,25044,$3.50/$16 per barrel
Taxable,2018,4,In bottles and cans,12821206,$3.50/$16 per barrel
Taxable,2018,4,In barrels and kegs,1302101,$3.50/$16 per barrel
Taxable,2018,4,"Tax Determined, Premises Use",4842,$3.50/$16 per barrel
Tax Free,2018,4,For export,588434,$3.50/$16 per barrel
Tax Free,2018,4,For vessels and aircraft,0,$3.50/$16 per barrel
Tax Free,2018,4,Consumed on brewery premises,1076,$3.50/$16 per barrel
Taxable,2018,5,In bottles and cans,13875500,$3.50/$16 per barrel
Taxable,2018,5,In barrels and kegs,1382342,$3.50/$16 per barrel
Taxable,2018,5,"Tax Determined, Premises Use",5736,$3.50/$16 per barrel
Tax Free,2018,5,For export,654536,$3.50/$16 per barrel
Tax Free,2018,5,For vessels and aircraft,233,$3.50/$16 per barrel
Tax Free,2018,5,Consumed on brewery premises,1146,$3.50/$16 per barrel
Taxable,2018,6,In bottles and cans,14169508,$3.50/$16 per barrel
Taxable,2018,6,In barrels and kegs,1498143,$3.50/$16 per barrel
Taxable,2018,6,"Tax Determined, Premises Use",802638,$3.50/$16 per barrel
Tax Free,2018,6,For export,692704,$3.50/$16 per barrel
Tax Free,2018,6,For vessels and aircraft,451,$3.50/$16 per barrel
Tax Free,2018,6,Consumed on brewery premises,28204,$3.50/$16 per barrel
Taxable,2018,7,In bottles and cans,13936154,$3.50/$16 per barrel
Taxable,2018,7,In barrels and kegs,1239547,$3.50/$16 per barrel
Taxable,2018,7,"Tax Determined, Premises Use",6579,$3.50/$16 per barrel
Tax Free,2018,7,For export,755920,$3.50/$16 per barrel
Tax Free,2018,7,For vessels and aircraft,0,$3.50/$16 per barrel
Tax Free,2018,7,Consumed on brewery premises,2576,$3.50/$16 per barrel
Taxable,2018,8,In bottles and cans,13927580,$3.50/$16 per barrel
Taxable,2018,8,In barrels and kegs,1355873,$3.50/$16 per barrel
Taxable,2018,8,"Tax Determined, Premises Use",6752,$3.50/$16 per barrel
Tax Free,2018,8,For export,715332,$3.50/$16 per barrel
Tax Free,2018,8,For vessels and aircraft,1915,$3.50/$16 per barrel
Tax Free,2018,8,Consumed on brewery premises,1296,$3.50/$16 per barrel
Taxable,2018,9,In bottles and cans,11993132,$3.50/$16 per barrel
Taxable,2018,9,In barrels and kegs,1356854,$3.50/$16 per barrel
Taxable,2018,9,"Tax Determined, Premises Use",803529,$3.50/$16 per barrel
Tax Free,2018,9,For export,463754,$3.50/$16 per barrel
Tax Free,2018,9,For vessels and aircraft,12,$3.50/$16 per barrel
Tax Free,2018,9,Consumed on brewery premises,26381,$3.50/$16 per barrel
Taxable,2018,10,In bottles and cans,13895668,$3.50/$16 per barrel
Taxable,2018,10,In barrels and kegs,1252668,$3.50/$16 per barrel
Taxable,2018,10,"Tax Determined, Premises Use",5590,$3.50/$16 per barrel
Tax Free,2018,10,For export,513223,$3.50/$16 per barrel
Tax Free,2018,10,For vessels and aircraft,0,$3.50/$16 per barrel
Tax Free,2018,10,Consumed on brewery premises,1107,$3.50/$16 per barrel
Taxable,2018,11,In bottles and cans,10737490,$3.50/$16 per barrel
Taxable,2018,11,In barrels and kegs,1087854,$3.50/$16 per barrel
Taxable,2018,11,"Tax Determined, Premises Use",4965,$3.50/$16 per barrel
Tax Free,2018,11,For export,414642,$3.50/$16 per barrel
Tax Free,2018,11,For vessels and aircraft,9,$3.50/$16 per barrel
Tax Free,2018,11,Consumed on brewery premises,964,$3.50/$16 per barrel
Taxable,2018,12,In bottles and cans,11007154,$3.50/$16 per barrel
Taxable,2018,12,In barrels and kegs,1271402,$3.50/$16 per barrel
Taxable,2018,12,"Tax Determined, Premises Use",839121,$3.50/$16 per barrel
Tax Free,2018,12,For export,359305,$3.50/$16 per barrel
Tax Free,2018,12,For vessels and aircraft,2,$3.50/$16 per barrel
Tax Free,2018,12,Consumed on brewery premises,30149,$3.50/$16 per barrel
Taxable,2019,1,In bottles and cans,11196720,$3.50/$16 per barrel
Taxable,2019,1,In barrels and kegs,1196450,$3.50/$16 per barrel
Taxable,2019,1,"Tax Determined, Premises Use",4509,$3.50/$16 per barrel
Tax Free,2019,1,For export,416290,$3.50/$16 per barrel
Tax Free,2019,1,Consumed on brewery premises,1097,$3.50/$16 per barrel
Taxable,2019,2,In bottles and cans,10362380,$3.50/$16 per barrel
Taxable,2019,2,In barrels and kegs,1064546,$3.50/$16 per barrel
Taxable,2019,2,"Tax Determined, Premises Use",3886,$3.50/$16 per barrel
Tax Free,2019,2,For export,442637,$3.50/$16 per barrel
Tax Free,2019,2,Consumed on brewery premises,704,$3.50/$16 per barrel
Taxable,2019,3,In bottles and cans,12242914,$3.50/$16 per barrel
Taxable,2019,3,In barrels and kegs,1387609,$3.50/$16 per barrel
Taxable,2019,3,"Tax Determined, Premises Use",739765,$3.50/$16 per barrel
Tax Free,2019,3,For export,420161,$3.50/$16 per barrel
Tax Free,2019,3,For vessels and aircraft,0,$3.50/$16 per barrel
Tax Free,2019,3,Consumed on brewery premises,23721,$3.50/$16 per barrel
Taxable,2019,4,In bottles and cans,12912591,$3.50/$16 per barrel
Taxable,2019,4,In barrels and kegs,1284021,$3.50/$16 per barrel
Taxable,2019,4,"Tax Determined, Premises Use",3656,$3.50/$16 per barrel
Tax Free,2019,4,For export,451810,$3.50/$16 per barrel
Tax Free,2019,4,For vessels and aircraft,5,$3.50/$16 per barrel
Tax Free,2019,4,Consumed on brewery premises,836,$3.50/$16 per barrel
Taxable,2019,5,In bottles and cans,13880744,$3.50/$16 per barrel
Taxable,2019,5,In barrels and kegs,1292050,$3.50/$16 per barrel
Taxable,2019,5,"Tax Determined, Premises Use",2774,$3.50/$16 per barrel
Tax Free,2019,5,For export,354177,$3.50/$16 per barrel
Tax Free,2019,5,For vessels and aircraft,0,$3.50/$16 per barrel
Tax Free,2019,5,Consumed on brewery premises,1002,$3.50/$16 per barrel
Taxable,2019,6,In bottles and cans,13485781,$3.50/$16 per barrel
Taxable,2019,6,In barrels and kegs,1321752,$3.50/$16 per barrel
Taxable,2019,6,"Tax Determined, Premises Use",863390,$3.50/$16 per barrel
Tax Free,2019,6,For export,415847,$3.50/$16 per barrel
Tax Free,2019,6,For vessels and aircraft,348,$3.50/$16 per barrel
Tax Free,2019,6,Consumed on brewery premises,24280,$3.50/$16 per barrel
