tax_status,year,month,type,month_current,tax_rate
Tax Free,2009,2,For vessels and aircraft,0,$7/$18 per barrel
Tax Free,2009,2,Consumed on brewery premises,467,$7/$18 per barrel
Taxable,2009,3,In bottles and cans,14167308,$7/$18 per barrel
Taxable,2009,3,In barrels and kegs,1497154,$7/$18 per barrel
Taxable,2009,3,"Tax Determined, Premises Use",82923,$7/$18 per barrel
Tax Free,2009,3,For export,300475,$7/$18 per barrel
Tax Free,2009,3,For vessels and aircraft,0,$7/$18 per barrel
Tax Free,2009,3,Consumed on brewery premises,6980,$7/$18 per barrel
Taxable,2009,4,In bottles and cans,14384698,$7/$18 per barrel
Taxable,2009,4,In barrels and kegs,1504016,$7/$18 per barrel
Taxable,2009,4,"Tax Determined, Premises Use",5798,$7/$18 per barrel
Tax Free,2009,4,For export,295526,$7/$18 per barrel
Tax Free,2009,4,For vessels and aircraft,0,$7/$18 per barrel
Tax Free,2009,4,Consumed on brewery premises,768,$7/$18 per barrel
Taxable,2009,5,In bottles and cans,15393903,$7/$18 per barrel
Taxable,2009,5,In barrels and kegs,1474095,$7/$18 per barrel
Taxable,2009,5,"Tax Determined, Premises Use",5763,$7/$18 per barrel
Tax Free,2009,5,For export,338519,$7/$18 per barrel
Tax Free,2009,5,For vessels and aircraft,0,$7/$18 per barrel
Tax Free,2009,5,Consumed on brewery premises,862,$7/$18 per barrel
Taxable,2009,6,In bottles and cans,15392420,$7/$18 per barrel
Taxable,2009,6,In barrels and kegs,1661000,$7/$18 per barrel
Taxable,2009,6,"Tax Determined, Premises Use",87133,$7/$18 per barrel
Tax Free,2009,6,For export,356256,$7/$18 per barrel
Tax Free,2009,6,For vessels and aircraft,0,$7/$18 per barrel
Tax Free,2009,6,Consumed on brewery premises,6660,$7/$18 per barrel
Taxable,2009,7,In bottles and cans,15496866,$7/$18 per barrel
Taxable,2009,7,In barrels and kegs,1485738,$7/$18 per barrel
Taxable,2009,7,"Tax Determined, Premises Use",6970,$7/$18 per barrel
Tax Free,2009,7,For export,457739,$7/$18 per barrel
Tax Free,2009,7,For vessels and aircraft,0,$7/$18 per barrel
Tax Free,2009,7,Consumed on brewery premises,1313,$7/$18 per barrel
Taxable,2009,8,In bottles and cans,14284174,$7/$18 per barrel
Taxable,2009,8,In barrels and kegs,1428279,$7/$18 per barrel
Taxable,2009,8,"Tax Determined, Premises Use",5647,$7/$18 per barrel
Tax Free,2009,8,For export,333648,$7/$18 per barrel
Tax Free,2009,8,For vessels and aircraft,0,$7/$18 per barrel
Tax Free,2009,8,Consumed on brewery premises,1115,$7/$18 per barrel
Taxable,2009,9,In bottles and cans,13643212,$7/$18 per barrel
Taxable,2009,9,In barrels and kegs,1595488,$7/$18 per barrel
Taxable,2009,9,"Tax Determined, Premises Use",93891,$7/$18 per barrel
Tax Free,2009,9,For export,297696,$7/$18 per barrel
Tax Free,2009,9,For vessels and aircraft,0,$7/$18 per barrel
Tax Free,2009,9,Consumed on brewery premises,8471,$7/$18 per barrel
Taxable,2009,10,In bottles and cans,13028910,$7/$18 per barrel
Taxable,2009,10,In barrels and kegs,1381908,$7/$18 per barrel
Taxable,2009,10,"Tax Determined, Premises Use",6000,$7/$18 per barrel
Tax Free,2009,10,For export,319415,$7/$18 per barrel
Tax Free,2009,10,For vessels and aircraft,0,$7/$18 per barrel
Tax Free,2009,10,Consumed on brewery premises,727,$7/$18 per barrel
Taxable,2009,11,In bottles and cans,11491624,$7/$18 per barrel
Taxable,2009,11,In barrels and kegs,1243265,$7/$18 per barrel
Taxable,2009,11,"Tax Determined, Premises Use",5506,$7/$18 per barrel
Tax Free,2009,11,For export,336206,$7/$18 per barrel
Tax Free,2009,11,For vessels and aircraft,0,$7/$18 per barrel
Tax Free,2009,11,Consumed on brewery premises,727,$7/$18 per barrel
Taxable,2009,12,In bottles and cans,11814020,$7/$18 per barrel
Taxable,2009,12,In barrels and kegs,1376754,$7/$18 per barrel
Taxable,2009,12,"Tax Determined, Premises Use",99087,$7/$18 per barrel
Tax Free,2009,12,For export,300591,$7/$18 per barrel
Tax Free,2009,12,For vessels and aircraft,19,$7/$18 per barrel
Tax Free,2009,12,Consumed on brewery premises,5695,$7/$18 per barrel
Taxable,2010,1,In bottles and cans,11908922,$7/$18 per barrel
Taxable,2010,1,In barrels and kegs,1245143,$7/$18 per barrel
Taxable,2010,1,"Tax Determined, Premises Use",5267,$7/$18 per barrel
Tax Free,2010,1,For export,224066,$7/$18 per barrel
Tax Free,2010,1,For vessels and aircraft,0,$7/$18 per barrel
Tax Free,2010,1,Consumed on brewery premises,913,$7/$18 per barrel
Taxable,2010,2,In bottles and cans,11847648,$7/$18 per barrel
Taxable,2010,2,In barrels and kegs,1308677,$7/$18 per barrel
Taxable,2010,2,"Tax Determined, Premises Use",4736,$7/$18 per barrel
Tax Free,2010,2,For export,263721,$7/$18 per barrel
Tax Free,2010,2,For vessels and aircraft,0,$7/$18 per barrel
Tax Free,2010,2,Consumed on brewery premises,719,$7/$18 per barrel
Taxable,2010,3,In bottles and cans,14212648,$7/$18 per barrel
Taxable,2010,3,In barrels and kegs,1658845,$7/$18 per barrel
Taxable,2010,3,"Tax Determined, Premises Use",101336,$7/$18 per barrel
Tax Free,2010,3,For export,377355,$7/$18 per barrel
Tax Free,2010,3,For vessels and aircraft,27,$7/$18 per barrel
Tax Free,2010,3,Consumed on brewery premises,6865,$7/$18 per barrel
Taxable,2010,4,In bottles and cans,13758882,$7/$18 per barrel
Taxable,2010,4,In barrels and kegs,1486282,$7/$18 per barrel
Taxable,2010,4,"Tax Determined, Premises Use",5972,$7/$18 per barrel
Tax Free,2010,4,For export,397695,$7/$18 per barrel
Tax Free,2010,4,For vessels and aircraft,0,$7/$18 per barrel
Tax Free,2010,4,Consumed on brewery premises,748,$7/$18 per barrel
Taxable,2010,5,In bottles and cans,15066715,$7/$18 per barrel
Taxable,2010,5,In barrels and kegs,1507136,$7/$18 per barrel
Taxable,2010,5,"Tax Determined, Premises Use",5916,$7/$18 per barrel
Tax Free,2010,5,For export,359192,$7/$18 per barrel
Tax Free,2010,5,For vessels and aircraft,0,$7/$18 per barrel
Tax Free,2010,5,Consumed on brewery premises,895,$7/$18 per barrel
Taxable,2010,6,In bottles and cans,15624610,$7/$18 per barrel
Taxable,2010,6,In barrels and kegs,1717761,$7/$18 per barrel
Taxable,2010,6,"Tax Determined, Premises Use",112498,$7/$18 per barrel
Tax Free,2010,6,For export,421907,$7/$18 per barrel
Tax Free,2010,6,For vessels and aircraft,0,$7/$18 per barrel
Tax Free,2010,6,Consumed on brewery premises,7327,$7/$18 per barrel
